id,date,type,amount,category,description,client,region,channel,status,dueDate,email
TXN1083,2026-04-04,expense,406.07,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1084,2026-04-06,expense,4572.29,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1085,2026-04-08,expense,2378.15,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1086,2026-04-09,expense,2128.67,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1087,2026-04-10,expense,3565.62,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1088,2026-04-12,expense,2825.72,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1089,2026-04-13,income,4525.84,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1090,2026-04-17,expense,4260.92,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1091,2026-04-18,expense,2091.25,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1092,2026-04-19,expense,3116.23,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1093,2026-04-21,expense,1477.34,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1094,2026-04-24,income,2100.51,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1095,2026-04-28,expense,4620.99,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1096,2026-05-01,income,289587.78,sales,Monthly wholesale distribution,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1097,2026-05-04,income,49235.25,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1098,2026-05-06,income,121550.63,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1099,2026-05-11,income,54909.01,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1100,2026-05-16,income,55251.22,sales,Bulk retail order,Sharma Retail,West,Retail,paid,,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1101,2026-05-26,income,85000.00,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1102,2026-05-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1103,2026-05-29,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1104,2026-05-13,expense,17874.15,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1105,2026-05-15,expense,15000.00,marketing,Social media management,Ad Agency,All,Digital,paid,,contact@example.com
TXN1106,2026-05-01,income,704.97,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1107,2026-05-02,income,1999.84,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1108,2026-05-03,expense,772.78,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1109,2026-05-04,expense,3709.21,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1110,2026-05-05,expense,3932.48,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1111,2026-05-09,expense,2974.40,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1112,2026-05-10,income,1806.47,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1113,2026-05-12,income,11.31,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1114,2026-05-13,income,4878.09,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1115,2026-05-15,expense,2291.89,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1116,2026-05-16,expense,2208.61,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1117,2026-05-19,expense,3326.18,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1118,2026-05-21,expense,4855.74,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1119,2026-05-23,expense,2383.92,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1120,2026-05-24,income,1822.73,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1121,2026-05-25,expense,1401.01,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1122,2026-05-26,income,3046.20,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1123,2026-05-27,income,4535.24,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1124,2026-05-29,expense,3426.92,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1125,2026-05-30,expense,3008.14,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1126,2026-06-01,income,90000.00,sales,Wholesale delivery - supply chain shortage,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1127,2026-06-04,income,46133.00,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1128,2026-06-06,income,127628.16,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1129,2026-06-11,income,49158.64,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1130,2026-06-16,income,57764.66,sales,Bulk retail order,Sharma Retail,West,Retail,overdue,2026-07-01,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1131,2026-06-21,income,67764.66,sales,Seasonal stock,Sharma Retail,West,Retail,overdue,2026-07-06,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1132,2026-06-26,income,110000.00,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1133,2026-06-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1134,2026-06-29,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1135,2026-06-13,expense,16133.47,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1136,2026-06-15,expense,15000.00,marketing,Social media management,Ad Agency,All,Digital,paid,,contact@example.com
TXN1137,2026-06-02,expense,837.61,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1138,2026-06-04,income,1410.50,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1139,2026-06-05,expense,453.13,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1140,2026-06-07,expense,1140.56,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1141,2026-06-10,expense,1066.32,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1142,2026-06-11,expense,3968.20,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1143,2026-06-12,income,4544.02,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1144,2026-06-13,expense,3327.08,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1145,2026-06-15,expense,1686.69,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1146,2026-06-17,expense,4687.66,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1147,2026-06-18,expense,975.35,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1148,2026-06-21,expense,2102.27,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1149,2026-06-23,expense,4570.06,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1150,2026-06-26,expense,4078.63,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1151,2026-06-27,expense,3024.45,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1152,2026-06-30,income,1435.25,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
